429,5
221,3
228,5
429,6
273,2
209,2
322,4
208,1
276,2
437,6
115,1
38,2
104,2
108,3
162,3
306,5
459,3
408,5
273,2
152,4
312,5
39,1
161,1
114,3
364,2
475,6
184,2
456,3
399,6
17,2
357,5
297,4
475,6
209,2
272,4
161,3
78,1
391,6
114,4
405,3
391,6
442,6
323,4
432,5
65,1
81,1
76,1
273,3
247,1
247,3
34,1
286,3
455,6
340,3
17,4
374,5
345,3
234,5
323,4
221,3
221,5
378,5
184,1
68,1
299,4
342,6
189,3
26,1
115,1
324,6
115,1
162,2
209,2
304,6
85,2
460,6
368,5
23,3
51,3
78,1
115,4
429,5
221,2
92,3
78,2
338,3
169,5
408,5
399,5
135,1
460,6
416,3
78,3
408,5
306,3
133,3
69,3
38,3
65,2
207,3
299,3
468,2
135,1
253,1
299,4
221,3
272,5
13,3
286,2
361,5
312,6
182,5
114,1
442,6
324,6
390,2
208,1
361,5
475,5
364,6
322,3
92,3
23,3
209,1
418,2
95,4
460,6
374,6
391,4
187,3
442,5
374,6
51,4
171,1
342,2
304,6
260,6
195,5
156,2
133,2
338,3
85,2
345,4
270,3
297,5
51,1
78,1
133,2
338,4
216,2
403,6
351,3
255,6
190,3
312,6
306,3
247,1
91,1
459,4
475,4
324,6
108,3
285,5
273,3
184,4
432,6
114,3
437,6
27,1
85,3
135,1
340,4
399,6
34,2
130,1
209,3
405,5
416,2
357,2
247,2
361,6
23,1
437,4
285,3
228,3
459,5
378,6
143,1
351,5
13,2
138,2
408,5
247,3
156,5
260,6
429,4
323,4
270,1
351,6
69,1
416,2
255,2
230,6
68,2
184,5
340,3
119,2
136,2
208,1
136,1
418,2
104,2
162,4
416,4
171,4
133,2
391,6
136,1
204,3
143,3
437,6
108,1
143,1
195,6
207,2
442,4
468,5
19,2
312,6
403,5
416,2
437,5
340,5
456,6
184,6
52,3
432,6
276,1
152,3
102,4
351,4
13,2
247,3
323,4
297,2
238,4
416,3
299,5
138,1
364,3
54,2
26,1
364,3
26,2
23,3
38,2
325,4
115,3
325,6
187,4
136,1
378,6
153,4
247,4
243,3
340,2
345,4
270,3
253,2
102,3
104,2
342,1
345,3
162,2
138,2
69,1
418,2
156,4
425,3
195,6
51,1
54,4
260,4
351,5
26,1
437,4
221,3
399,5
432,5
351,4
208,2
286,2
442,5
161,1
130,1
34,1
69,1
368,5
65,2
221,4
117,3
204,2
190,5
76,2
39,3
273,4
108,2
247,1
459,6
189,1
351,5
289,6
114,3
102,1
380,2
304,6
345,3
408,6
221,3
425,4
364,6
418,2
391,5
189,3
442,6
34,1
368,6
13,3
152,2
85,4
299,2
442,6
221,3
475,3
324,6
57,5
133,2
133,1
338,5
216,1
253,1
323,3
195,6
234,5
425,6
340,4
322,6
81,3
266,6
260,5
377,5
351,6
247,5
342,6
46,2
216,2
273,2
442,5
133,2
92,3
187,2
255,3
171,2
184,2
221,5
54,3
266,6
51,1
57,3
270,1
102,3
138,1
170,5
238,3
425,4
102,3
68,1
153,2
39,2
459,4
34,3
338,5
162,2
442,5
152,5
153,3
114,2
364,4
91,3
437,4
153,1
345,6
115,2
17,1
285,2
221,5
253,2
253,2
54,1
297,4
378,6
39,4
170,4
26,1
323,2
468,6
91,2
204,4
442,5
207,3
408,4
182,4
299,4
51,1
442,5
322,4
130,1
391,4
68,2
266,5
76,1
230,5
468,4
414,6
416,3
156,1
459,4
136,1
